codigo,nome,descricao,ativo
SOUGOV,SouGov.br,Portal de serviços do governo federal,true
CENTRAL_TEL,Central de Atendimento Telefônico,Atendimento por telefone (call center),true
ATEND_PRES,Atendimento Presencial,Atendimento em balcão/guichê,true
PROTOCOLO_DIG,Protocolo Digital,Sistema de protocolo eletrônico,true
ENT_REPRES,Entidade Representativa,Sindicatos e associações de classe,true
EMAIL,E-mail,Atendimento por correio eletrônico,true
OUVIDORIA,Ouvidoria,Canal de ouvidoria,true
WHATSAPP,WhatsApp,Atendimento via WhatsApp,true
CHAT_ONLINE,Chat Online,Chat no site institucional,true
