sigla,nome_completo,observacao,ativo
MDIC,Ministério do Desenvolvimento Indústria Comércio e Serviços,,true
MEMP,Ministério do Empreendedorismo da Microempresa e da Empresa de Pequeno Porte,,true
ME,Ministério da Economia,Antigo,false
MF,Ministério da Fazenda,,true
MGI,Ministério da Gestão e da Inovação em Serviços Públicos,,true
MINFRA,Ministério da Infraestrutura,,true
MPO,Ministério do Planejamento e Orçamento,,true
MPOR,Ministério dos Portos e Aeroportos,,true
MPI,Ministérios dos Povos Indígenas,,true
MPS,Ministério da Previdência Social,,true
MTE,Ministério do Trabalho,,true
MT,Ministério dos Transportes,,true
PGFN,Procuradoria-Geral da Fazenda Nacional,,true
RFB,Receita Federal do Brasil,,true
INSS,Médicos peritos do INSS,Peritos médicos,true
IN,Imprensa Nacional,,true
EX-TERR,Ex-territórios,Rondônia Amapá e Roraima,true
